textbox3,Month,Year,Date,CropNameUrdu,textbox2
Khudian    View Graph,November - 2015,November,17-November-2022,Lady Finger/Okra (بھنڈی توری),"6,500.00"
Khudian    View Graph,November - 2015,November,17-November-2022,jujube(بیر),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Gram Flour (بیسن),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Brinjal,"2,100.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Spinach,"2,200.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Papaya(پپیتا),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Mint(پودینہ),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Cauliflower,"1,900.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Onion,"17,550.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Watermelon,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Turmeric Whole(ثابت ہلدی),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Persimmon(جاپانی پھل),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Jaman,NA
Khudian    View Graph,November - 2015,November,17-November-2022,green chickpeas(چھولیا),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Pumpkin,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Melon,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apricot Yellow,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apricot White,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Gram Pulse,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Coriander (دھنیا),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Mustard Greens(ساگ سرسوں),"2,750.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Green Onion,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Water chestnut(سنگھاڑا),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apple (Ammre),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apple Kala Kullu (Madani),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apple Kala Kullu (Pahari),"22,450.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Apple (Gatcha),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Apple (Golden),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Sweet Potato(شکر قندی),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Turnip,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Capsicum (شملہ مرچ),"6,500.00"
Khudian    View Graph,November - 2015,November,17-November-2022,feutral early(100 Pcs) فروٹر,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Gram Black,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Bottle Gourd (کدو),"1,800.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Bitter Gourd (کریلا),"4,000.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Dates (Aseel),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Cucumber (Kheera),"4,900.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Kinnow (100Pcs),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Carrot,"5,850.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Carrot China,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Sweet Musk Melon,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Sweet Musk Melon (Shireen),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Grapefruit(100Pcs),NA
Khudian    View Graph,November - 2015,November,17-November-2022,sugarcane,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Cabbage,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Zucchini (گھیا توری),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Garlic (China),"26,500.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Garlic (Local),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Lychee,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Lemon (Other),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Lemon (China),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Lemon (Desi),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Orange(100Pcs),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Musambi(100Pcs),NA
Khudian    View Graph,November - 2015,November,17-November-2022,Radish,"1,800.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Mongray,"8,500.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Peas,"17,500.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Fenugreek(میتھی),"2,200.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Cocunut,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Pear,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Tomato,"17,550.00"
Khudian    View Graph,November - 2015,November,17-November-2022,Tindian,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Tinda Desi,NA
Khudian    View Graph,November - 2015,November,17-November-2022,Green Chilli,NA
Khudian    View Graph,November - 2015,November,18-November-2022,Dates(Irani),NA
